,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,NFLX Position,NFLX Order,NFLX Filled Order,NFLX Trade Price,NFLX Cost to Trade,NFLX PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,AMZN Position,AMZN Order,AMZN Filled Order,AMZN Trade Price,AMZN Cost to Trade,AMZN PnL
2016-09-13,0.5849654171999983,14.895747883359991,579974.385788601,560806.028695,1148957.478833601,-435,30,30,107.510002,7.785003000000074,-1161.7328279999952,-119,-8,-8,97.17,2.232000000000016,334.9679999999993,-345,14,14,764.48,12.802999999999338,3269.606999999975,-209,16,16,157.63,4.552000000000225,524.3279999999976,-273,12,12,768.77,11.19599999999964,2882.4840000000063
2016-09-12,-0.8671192262600008,14.310782466159994,574203.693731601,591592.23093,1143107.8246616013,-465,-13,-13,102.650002,2.98350259999994,-1083.3757626000017,-111,-14,-14,95.91,3.4229999999999112,-294.7329999999996,-359,-14,-14,755.13,10.905999999999631,-3434.566000000004,-225,3,3,155.26,0.7124999999999659,-584.4224999999986,-285,-10,-10,757.35,11.444999999999709,-3274.0950000000057
2016-09-09,1.4036784520500019,15.177901692419997,568481.9164722011,562593.778644,1151779.016924201,-452,-10,-10,104.639999,2.0149995000000445,1069.4650205000003,-97,-12,-12,99.06,1.9379999999999429,297.3819999999998,-345,-7,-7,770.1,3.0694999999996755,5363.090500000028,-228,6,6,158.03,1.3350000000000137,759.1650000000004,-275,-6,-6,779.36,2.1180000000002566,6547.681999999988
2016-09-08,0.3629708253700004,13.774223240369993,568154.3110777013,565287.238674,1137742.2324037012,-442,-13,-13,107.25,2.398501299999995,1238.4532536999973,-85,-11,-11,99.23,2.073499999999959,-44.543499999999206,-338,-1,-1,778.59,0.42650000000001,1697.9534999999908,-234,9,9,160.55,1.6919999999999447,625.8779999999966,-269,-1,-1,783.89,0.42299999999997906,111.96700000001957
2016-09-07,0.05369983384500047,13.411252414999991,566338.3328630013,566320.650429,1134112.524150001,-429,-11,-11,107.83000200000001,1.53450055000001,-283.2461615500002,-74,-18,-18,100.11,4.202999999999963,65.7169999999998,-337,0,0,780.0,0.0,-90.98999999999387,-243,11,11,160.19,2.0625000000000626,-313.77249999999816,-268,10,10,789.53,10.629999999999654,1159.289999999997
2016-09-06,-0.7831891000999983,13.357552581154991,573076.7828855511,573545.3587460001,1133575.5258115511,-418,-9,-9,107.900002,1.4309999999999774,12.641499000000143,-56,-21,-21,97.76,3.3284999999998974,-147.10850000000016,-337,0,0,773.45,0.0,-2904.9400000000014,-254,9,9,159.88,1.5389999999999815,-207.7089999999955,-278,9,9,774.04,2.8350000000002864,-4584.774999999986
2016-09-02,-0.18311820660000405,14.14074168125499,568114.880493551,571103.8212270001,1141407.4168125507,-409,-11,-11,107.699997,1.7489999999999726,-400.079066,-35,-22,-22,97.9,3.36599999999994,8.074000000000286,-337,-4,-4,773.01,1.7440000000000508,-887.9840000000214,-263,6,6,159.88,1.0559999999999605,-5.7260000000050635,-287,6,6,774.11,2.186999999999989,-545.4670000000144
2016-09-01,-0.1452701485250015,14.323859887854994,575420.180868551,568456.141194,1143238.5988785513,-398,-5,-5,106.139999,0.7325002500000295,-251.27448524999886,-13,-19,-19,97.81,2.9639999999999507,4.786000000000135,-333,2,2,769.25,0.5710000000000945,-581.0610000000063,-269,9,9,158.32,1.5299999999999385,-174.02999999999903,-293,11,11,770.9,4.20200000000043,-451.1220000000112
2016-08-31,0.026636086600005125,14.46913003638,568949.7064338011,576652.329214,1144691.3003638012,-393,-20,-20,105.660004,2.999999999999943,-49.099133999999694,6,-23,-23,97.48,4.266499999999912,-3.5764999999998857,-335,-11,-11,767.01,5.2964999999995594,655.2235000000259,-278,1,1,159.66,0.16700000000000728,144.13300000000285,-304,0,0,766.6,0.0,-480.3199999999779
2016-08-30,0.24864345294999557,14.442493949779992,572741.8472598011,566540.0800000001,1144424.939497801,-373,-10,-10,105.800003,1.5750005000000158,294.0850294999975,29,4,4,97.84,0.7759999999999764,1.4140000000001636,-324,-4,-4,769.33,2.073999999999978,978.0859999999826,-279,11,11,159.76,2.0404999999999576,86.79949999999823,-304,10,10,771.05,4.1899999999996,1126.049999999977
2016-08-29,-0.19559577571999892,14.193850496829999,569596.242790301,574367.52,1141938.5049683012,-363,-16,-16,106.620003,2.9119991999999457,35.52874280000487,25,3,3,96.97,0.5070000000000079,-5.677000000000038,-320,-10,-10,768.74,6.114999999999554,-849.3150000000035,-290,11,11,158.83,2.52450000000008,-414.13450000000194,-314,10,10,768.72,6.099999999999909,-722.3599999999888
2016-08-26,-0.29249711400499917,14.389446272549996,574742.9006435012,572475.9006940001,1143894.462725501,-347,-13,-13,107.410004,2.0799980499999604,214.44935994999537,22,2,2,97.33,0.4199999999999989,5.280000000000103,-310,-7,-7,769.0,3.7485000000003312,-46.9184999999987,-301,13,13,158.88,2.0280000000001506,88.03200000000054,-324,14,14,760.05,5.47399999999916,-3185.8139999999894
2016-08-25,-0.031217483399999524,14.681943386554998,572912.3045335511,575485.79,1146819.433865551,-334,-23,-23,107.389999,3.5304999999999924,135.3891660000035,20,-8,-8,96.38,1.380000000000041,51.0199999999996,-303,-13,-13,767.0,6.129499999999598,29.24050000000609,-314,4,4,159.0,0.7719999999999573,131.30800000000508,-338,9,9,756.0,4.522500000000287,-659.1325000000095
2016-08-24,0.3084185735800024,14.713160869954992,568924.1683885512,570136.579689,1147131.6086995513,-311,-24,-24,108.57,3.348001200000022,244.9517357999985,28,-12,-12,96.13,1.8659999999999402,-20.865999999999712,-290,-15,-15,770.58,4.995000000000914,680.1050000000149,-318,0,0,159.89,0.0,384.7799999999935,-347,11,11,763.0,3.1349999999994,1795.215000000017
2016-08-23,-0.1248925496000024,14.404742296374993,570347.0546857513,567481.729426,1144047.4229637515,-287,-24,-24,108.589996,3.9000000000000004,-99.55899599999982,40,-15,-15,95.68,2.3849999999999625,31.114999999999768,-275,-11,-11,775.48,3.5695000000003803,52.31049999998256,-318,1,1,160.33,0.17200000000000273,-83.18199999999712,-358,20,20,763.31,9.75000000000091,-1149.6100000000092
2016-08-22,0.01799982357499647,14.529634845975,570269.2984597514,570509.170526,1145296.3484597516,-263,-25,-25,108.860001,4.162501250000048,206.88723574999912,55,-9,-9,95.67,1.4715000000000429,-36.821500000000036,-264,-15,-15,773.27,4.477499999999509,826.552499999996,-319,0,0,160.0,0.0,12.759999999997461,-378,16,16,757.5,6.079999999999563,-829.380000000028
2016-08-19,0.3634590606700056,14.511635022400004,566803.1918900014,568540.1602379999,1145116.3502240013,-238,-26,-26,108.769997,3.3540012999998283,-78.05389329999741,64,-13,-13,96.05,2.632500000000081,-22.622499999999565,-249,-18,-18,775.0,7.074000000000114,465.84600000001006,-319,0,0,160.84,0.0,421.08000000000686,-394,14,14,761.9,4.599000000000752,2848.3410000000363
2016-08-18,0.03333443292499668,14.148175961729994,567428.4587693014,566100.980424,1141481.7596173014,-212,-25,-25,109.230003,3.787508749999944,26.1423292499977,77,-13,-13,95.98,2.6519999999999895,-23.89200000000061,-231,-15,-15,780.01,6.960000000000491,551.2499999999925,-319,1,1,160.89,0.1660000000000025,-294.09600000000506,-408,20,20,764.0,8.020000000000891,73.93999999998232
2016-08-17,-0.06562507248000095,14.114841528804998,566000.8562230513,567487.140187,1141148.4152880514,-187,-29,-29,109.099998,4.379005800000124,17.420275200001022,90,-3,-3,94.94,0.48150000000001403,111.47849999999997,-216,-18,-18,777.32,8.58599999999915,-603.665999999994,-320,0,0,160.97,0.0,83.19999999999709,-428,17,17,764.41,5.8734999999998765,-264.68350000001357
2016-08-16,0.3348735799250033,14.180466601285001,564711.9864868512,562577.5595259999,1141804.6660128513,-158,-25,-25,109.629997,4.3249987499999065,15.225799249999213,93,-5,-5,95.19,0.917500000000004,-19.187499999999815,-198,-18,-18,780.3,8.442000000000508,1002.4380000000112,-320,0,0,161.11,0.0,377.6000000000022,-445,17,17,768.62,5.380499999999938,1972.6595000000202
