,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL,MSFT Position,MSFT Order,MSFT Filled Order,MSFT Trade Price,MSFT Cost to Trade,MSFT PnL
2016-05-02,-0.1484197738550043,28.910984322514985,661045.3601201496,624313.3789649999,1289109.84322515,-1035,69,69,93.970001,14.52449655000033,73.10426144999666,-1578,42,42,146.56,10.814999999999952,1020.4049999999801,-384,37,37,697.63,19.64700000000148,-2187.387000000019,-197,-73,-73,46.54,10.219999999999938,-70.03999999999981,-412,56,56,50.0,8.120000000000097,-320.2800000000011
2016-04-29,0.19674551041500013,29.059404096369992,629885.4131716995,660746.8477919999,1290594.0409636996,-1104,-81,-81,93.989998,22.801487849999553,1112.522604150008,-1620,-153,-153,146.49,41.769000000000275,1700.090999999995,-421,-19,-19,690.7,25.288999999999895,-869.1590000000025,-124,-98,-98,46.52,14.60199999999995,20.618000000000134,-468,-15,-15,49.35,2.4074999999999633,3.3825000000006256
2016-04-28,1.4388096397950014,28.862658585954986,646186.6858595496,614372.502046,1288626.5858595497,-1023,59,59,97.610001,14.838497050000095,3056.319397949985,-1467,26,26,149.75,4.952999999999781,5001.567000000008,-402,15,15,708.26,13.957500000000437,5907.38250000002,-26,-96,-96,46.79,14.640000000000192,-50.880000000000074,-453,15,15,50.62,2.2124999999999915,473.70749999999964
2016-04-27,0.4932495127100007,27.423848946159993,627825.2994615997,648668.15,1274238.4894615996,-1082,-142,-142,96.0,24.068992899999117,5855.689127100008,-1493,-58,-58,149.35,11.28100000000062,-2070.890999999981,-417,-15,-15,707.29,18.554999999999154,927.7949999999815,70,-81,-81,46.89,11.096999999999921,-12.00700000000021,-468,-17,-17,51.48,2.7710000000000408,231.90899999999993
2016-04-26,0.662991780799999,26.930599433449988,629731.9049344996,619890.5181199999,1269305.9943344998,-940,-24,-24,103.910004,3.768000000000052,654.3558080000075,-1435,22,22,148.65,4.16899999999971,-388.0990000000144,-402,8,8,725.42,4.13600000000024,6011.723999999996,151,-74,-74,46.71,10.32299999999976,53.06700000000103,-451,12,12,52.26,1.4999999999999831,298.8700000000008
2016-04-25,-0.20265558320000007,26.26760765264999,626610.1883584996,633687.8818320001,1262676.0765264994,-916,-28,-28,105.0,5.404000000000099,525.1541679999991,-1457,-3,-3,148.16,0.8250000000000342,-453.51500000000334,-410,-10,-10,716.1,12.254999999999882,-1834.7549999999976,225,-100,-100,46.63,13.649999999999665,-110.64999999999955,-463,0,0,51.78,0.0,-152.78999999999922
2016-04-22,1.808287839820001,26.47026323584999,620504.4188064996,621244.9800000001,1264702.6323584993,-888,-12,-12,105.010002,2.0460018000000106,243.9548981999908,-1454,102,102,149.44,28.86599999999926,1120.0540000000185,-400,-37,-37,726.3,23.864999999998485,14909.055000000002,325,-131,-131,46.69,17.81600000000018,114.22399999999851,-463,-39,-39,51.91,5.47950000000006,1695.5904999999996
2016-04-21,-0.6474804018499997,24.66197539602999,610506.6148362994,624359.060876,1246619.7539602998,-876,5,5,106.93,1.007499499999966,1016.1489815000059,-1556,122,122,146.58,31.719999999999587,-5052.699999999995,-363,-32,-32,755.38,16.19199999999837,-2278.0820000000067,456,-169,-169,46.79,25.51900000000033,-80.90900000000107,-424,-22,-22,55.8,3.3220000000000427,-79.26199999999922
2016-04-20,-0.22970437300000277,25.30945579787999,615894.8370977996,611035.0573570001,1253094.5579787996,-881,20,20,106.639999,3.769997000000103,-192.1837300000022,-1678,151,151,144.24,47.86699999999767,-3624.6870000000217,-331,-34,-34,758.0,38.36900000000028,517.0709999999984,625,-178,-178,45.74,24.03000000000066,689.2999999999989,-402,-32,-32,56.29,4.943999999999915,313.4559999999989
2016-04-19,2.0491943558750023,25.539160170879995,594051.9807187995,604483.423604,1255391.6017087994,-901,-7,-7,107.879997,1.4034982499999815,514.9655587499961,-1829,9,9,146.47,1.642500000000092,15654.267500000004,-297,-37,-37,769.51,23.58750000000084,3849.672500000017,803,-187,-187,45.42,28.423999999999925,447.106000000003,-370,-32,-32,56.63,5.408000000000084,25.932000000000077
