,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL
2016-07-12,0.31833638249999724,-29.40433421631509,1122.972306848505,-0.0,705956.6578368484,7235,0,0,97.16999799999999,0.0,3183.363824999972
2016-07-11,0.21705217049999248,-29.722670598815082,1122.972306848505,-0.0,702773.2940118485,7235,0,0,96.75,0.0,2170.5217049999246
2016-07-08,0.535388553,-29.939722769315075,1122.972306848505,-0.0,700602.7723068486,7235,0,0,96.489998,0.0,5353.88553
2016-07-07,0.2966371705000023,-30.47511132231508,1122.972306848505,-0.0,695248.8867768486,7235,0,0,95.699997,0.0,2966.371705000023
2016-07-06,0.3907150234850027,-30.771748492815078,1122.972306848505,-0.0,692282.5150718485,7235,1,1,94.599998,0.14700015000000236,3907.1502348500267
2016-07-05,-0.6510607234000022,-31.16246351630008,1217.7193049985049,-0.0,688375.3648369985,7234,0,0,95.389999,0.0,-6510.607234000023
2016-07-01,0.20975837343000273,-30.51140279290008,1217.7193049985049,-0.0,694885.9720709985,7234,-1,-1,95.489998,0.17349969999999929,2097.583734300027
2016-06-30,0.868159905939999,-30.721161166330084,1122.402806698505,-0.0,692788.3883366984,7235,2,2,94.440002,0.29200060000000577,8681.59905939999
2016-06-29,0.585877339800001,-31.58932107227008,1311.574811298505,-0.0,684106.7892772985,7233,0,0,93.970001,0.0,5858.77339800001
2016-06-28,1.121007633384997,-32.17519841207008,1311.574811298505,-0.0,678248.0158792986,7233,1,1,92.900002,0.17750015000000588,11210.07633384997
2016-06-27,-0.9837328738299977,-33.29620604545508,1404.652313448505,-0.0,667037.9395454485,7232,-3,-3,93.0,0.601500300000015,-9837.328738299977
2016-06-24,-1.9528395072099993,-32.31247317162508,1126.253813748505,-0.0,676875.2682837485,7235,2,2,92.910004,0.3040001000000075,-19528.395072099993
2016-06-23,0.39781138349999684,-30.359633664415085,1312.377821848505,-0.0,696403.6633558485,7233,0,0,95.940002,0.0,3978.1138349999683
2016-06-22,-0.26037307368999774,-30.757445047915084,1312.377821848505,-0.0,692425.5495208486,7233,-1,-1,96.25,0.18349989999999253,-2603.7307368999773
2016-06-21,0.585958340400001,-30.497071974225083,1216.311321748505,-0.0,695029.2802577486,7234,0,0,94.940002,0.0,5859.58340400001
2016-06-20,-0.1664686433950058,-31.083030314625084,1216.311321748505,-0.0,689169.6968537485,7234,1,1,96.0,0.16749994999999843,-1664.686433950058
2016-06-17,-1.6057267232999974,-30.91656167123008,1312.478821698505,-0.0,690834.3832876985,7233,0,0,96.620003,0.0,-16057.267232999973
2016-06-16,0.2966079933750005,-29.310834947930083,1312.478821698505,-0.0,706891.6505206985,7233,1,1,96.449997,0.169000250000002,2966.079933750005
2016-06-15,-0.23142399999999505,-29.60744294130508,1409.097818948505,-0.0,703925.5705869485,7232,0,0,97.82,0.0,-2314.2399999999507
2016-06-14,0.08671987072499782,-29.37601894130509,1409.097818948505,-0.0,706239.8105869485,7232,-3,-3,97.32,0.6030007499999954,867.1987072499782
2016-06-13,-1.078019690975006,-29.46273881203009,1117.740819698505,-0.0,705372.6118796986,7235,1,1,98.690002,0.14349974999999518,-10780.196909750059
2016-06-10,-0.5933176502949951,-28.384719121055085,1216.574321448505,-0.0,716152.8087894485,7234,-1,-1,98.529999,0.17649994999999877,-5933.17650294995
2016-06-09,0.5136849999999954,-27.79140147076009,1118.220822398505,-0.0,722085.9852923986,7235,0,0,98.5,0.0,5136.849999999954
2016-06-08,-0.06526187751999767,-28.305086470760084,1118.220822398505,-0.0,716949.1352923986,7235,11,11,99.019997,1.6005022000000708,-652.6187751999767
2016-06-07,0.28932504864000047,-28.239824593240087,2209.0412915985053,-0.0,717601.7540675985,7224,-12,-12,99.25,3.803997599999957,2893.250486400005
2016-06-06,0.5137130764000076,-28.529149641880085,1021.8452891985052,-0.0,714708.5035811985,7236,2,2,97.989998,0.28199999999999364,5137.130764000076
2016-06-03,0.14467782979999724,-29.04286271828009,1218.1072851985052,-0.0,709571.3728171985,7234,0,0,97.790001,0.0,1446.7782979999724
2016-06-02,-0.5353145532,-29.18754054808009,1218.1072851985052,-0.0,708124.5945191985,7234,0,0,97.599998,0.0,-5353.145532
2016-06-01,-1.0127614468000006,-28.65222599488009,1218.1072851985052,-0.0,713477.7400511985,7234,0,0,99.019997,0.0,-10127.614468000005
2016-05-31,-0.3543460298100018,-27.63946454808009,1218.1072851985052,-0.0,723605.3545191985,7234,2,2,99.599998,0.32200010000000817,-3543.460298100018
2016-05-27,-0.04363123964000098,-27.285118518270085,1417.6292812985052,-0.0,727148.8148172984,7232,-2,-2,99.440002,0.40900040000000787,-436.31239640000973
2016-05-26,0.5714867234000027,-27.241487278630085,1219.1582776985051,-0.0,727585.1272136986,7234,0,0,99.68,0.0,5714.867234000027
